name,comment,time,image
,,,
Frankie Lee,"Grab,I would like to vent my frustration and disappointment in Grab. I took a Grab ride from KLCC convention centre to Jalan Raja Laut for rm14. To my surprise, the driver charged rm6 as toll charges. There is no toll used in the route and i was simply charges for rm6. Trip ADR-40897493-9-100. This is outrageous. Refund the rm6 and I expect a compensation Grab,I would like to vent my frustration and disappointment in Grab. I took a Grab ride from KLCC convention centre to Jalan Raja Laut for rm14. To my surprise, the driver charged rm6 as toll charges. There is no toll used in the route and i was simply charges for rm6. Trip ADR-40897493-9-100. This is outrageous. Refund the rm6 and I expect a compensation Grab, I would like to vent my frustration and disappointment in Grab. I took a Grab ride from KLCC convention centre to Jalan Raja Laut for rm14. To my surprise, the driver charged rm6 as toll charges. There is no toll used in the route and i was simply charges for rm6. Trip ADR-40897493-9-100. This is outrageous. Refund the rm6 and I expect a compensation 3 3   3 · Like · ·",1566460269,
Helmy Ben Azmy,"Top fan Frankie Lee lanjioo ,this is not the complaint area. Frankie Lee lanjioo ,this is not the complaint area. Frankie Lee lanjioo ,this is not the complaint area. · Like · ·",1566483256,/images/assets_DO_NOT_HARDCODE/facebook_icons/diamond_filled_24_fds-spectrum-blue-gray.png
,,,
Swee Kean Yeo,Thank you to Grab let me believe in Taxi again. From Changkat to dato keramat charging RM25 on Friday evening 10pm? Taxi is only RM15. 😂🤣😂👌 Thank you to Grab let me believe in Taxi again. From Changkat to dato keramat charging RM25 on Friday evening 10pm? Taxi is only RM15. 😂🤣😂👌 Thank you to Grab let me believe in Taxi again. From Changkat to dato keramat charging RM25 on Friday evening 10pm? Taxi is only RM15. 😂🤣😂👌 😂 😂 🤣 🤣 😂 😂 👌 👌 5 5   5 · Like · ·,1566571408,
Ben Ong,Grab service only available at SS2 ka? Grab service only available at SS2 ka? Grab service only available at SS2 ka? · Like · ·,1566367948,
Grab,"Author  Hello there Ben Ong, Grab service available in Malaysia. Do try to place your destination yeah on our Grab application. Thanks! -Jasmine🌹 Hello there Ben Ong, Grab service available in Malaysia. Do try to place your destination yeah on our Grab application. Thanks! -Jasmine🌹 Hello there Ben Ong, Grab service available in Malaysia. Do try to place your destination yeah on our Grab application. Thanks! -Jasmine🌹 🌹 🌹 · Like · ·",1566372624,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Ben Ong,Grab then why this musang king promo not available in other parts of Malaysia? Grab then why this musang king promo not available in other parts of Malaysia? then why this musang king promo not available in other parts of Malaysia? · Like · ·,1566387341,
Grab,Author  This promotion is only available in the selected area only. Our team will expand this promo at more cities in the near future. Thank you. This promotion is only available in the selected area only. Our team will expand this promo at more cities in the near future. Thank you. This promotion is only available in the selected area only. Our team will expand this promo at more cities in the near future. Thank you. · Like · ·,1566425970,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
,,,
