name,comment,time,image
,,,
Alex Tan,"Order since 11.30am and cancelled by rider 5-6 times, now i want to cancel order also cannot. Good job lah grab. Order since 11.30am and cancelled by rider 5-6 times, now i want to cancel order also cannot. Good job lah grab. Order since 11.30am and cancelled by rider 5-6 times, now i want to cancel order also cannot. Good job lah grab. 1 1  1 · Like · ·",1564114182,
Grab,Author  Hi Alex! We are sorry to know about the cancellation. Surely this will be investigated. Kindly PM us immediately. Thank you. Hi Alex! We are sorry to know about the cancellation. Surely this will be investigated. Kindly PM us immediately. Thank you. Hi Alex! We are sorry to know about the cancellation. Surely this will be investigated. Kindly PM us immediately. Thank you. · Like · ·,1564115233,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Nina Clara,"Dear Grab please take note this Driver (GOBINATHAN A/L ALAGAPPAN , plate no (NDB9652 PERODUA ALZA PURPLE) i was made booking yesterday and this Driver just nearby around me ALMOST 1HOUR I AM WAITING THIS GRAB DRIVER BUT HE DOESNT WANT TO PICKUP ME . AL…See more Dear Grab please take note this Driver (GOBINATHAN A/L ALAGAPPAN , plate no (NDB9652 PERODUA ALZA PURPLE) i was made booking yesterday and this Driver just nearby around me ALMOST 1HOUR I AM WAITING THIS GRAB DRIVER BUT HE DOESNT WANT TO PICKUP ME . AL…See more Dear Grab please take note this Driver (GOBINATHAN A/L ALAGAPPAN , plate no (NDB9652 PERODUA ALZA PURPLE) i was made booking yesterday and this Driver just nearby around me ALMOST 1HOUR I AM WAITING THIS GRAB DRIVER BUT HE DOESNT WANT TO PICKUP ME . AL Dear Grab please take note this Driver (GOBINATHAN A/L ALAGAPPAN , plate no (NDB9652 PERODUA ALZA PURPLE) i was made booking yesterday and this Driver just nearby around me ALMOST 1HOUR I AM WAITING THIS GRAB DRIVER BUT HE DOESNT WANT TO PICKUP ME . AL … · Like · ·",1564538946,
Grab,"Author  Hi Nina! Good morning. We are extremely sorry to know about your unpleasant experience waiting for the driver. Do not worry, your PM has been received and attended. Thank you for raising this matter to us. Hi Nina! Good morning. We are extremely sorry to know about your unpleasant experience waiting for the driver. Do not worry, your PM has been received and attended. Thank you for raising this matter to us. Hi Nina! Good morning. We are extremely sorry to know about your unpleasant experience waiting for the driver. Do not worry, your PM has been received and attended. Thank you for raising this matter to us. · Like · ·",1564540064,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
,,,
Abdul Haris,Minimum or maximum purchase? Minimum or maximum purchase? Minimum or maximum purchase? · Like · ·,1564122784,
Grab,"Author  Hi Abdul Haris, the maximum purchase you can do for each merchant is 3 times only. Hope this clarifies. 🙏 Hi Abdul Haris, the maximum purchase you can do for each merchant is 3 times only. Hope this clarifies. 🙏 Hi Abdul Haris, the maximum purchase you can do for each merchant is 3 times only. Hope this clarifies. 🙏 🙏 🙏 · Like · ·",1564130704,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Nazri Mohd Noor,"Tak boleh pun, dah pukul 3pm ni Tak boleh pun, dah pukul 3pm ni Tak boleh pun, dah pukul 3pm ni · Like · ·",1564125401,
Muhammad Haji M Zain,Nazri Mohd Noor sabar tuan. Saya dgr dah sold out 😅 Nazri Mohd Noor sabar tuan. Saya dgr dah sold out 😅 sabar tuan. Saya dgr dah sold out 😅 😅 😅 · Like · ·,1564125605,
Nazri Mohd Noor,"Muhammad Haji M Zain sold menda, tak bukak2 dari tadi.. Promo je gempak Muhammad Haji M Zain sold menda, tak bukak2 dari tadi.. Promo je gempak sold menda, tak bukak2 dari tadi.. Promo je gempak · Like · ·",1564126067,
Grab,"Author  Alamak sorry guys,:( As there is a great demand of durians currently, our merchants have the flexibility to change their availability in the system. It could be they are packed with orders or busy at the moment. Can we trouble you to re try again please? Alamak sorry guys,:( As there is a great demand of durians currently, our merchants have the flexibility to change their availability in the system. It could be they are packed with orders or busy at the moment. Can we trouble you to re try again please? Alamak sorry guys,:( As there is a great demand of durians currently, our merchants have the flexibility to change their availability in the system. It could be they are packed with orders or busy at the moment. Can we trouble you to re try again please? · Like · ·",1564127169,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
فيز القمردين,Sorry guys. You've been gamed😂😂😂😂 Sorry guys. You've been gamed😂😂😂😂 Sorry guys. You've been gamed😂😂😂😂 😂 😂 😂 😂 😂 😂 😂 😂 · Like · ·,1564133654,
,,,
Mohd Azlee,Check inbox please Check inbox please Check inbox please · Like · ·,1564129881,
Rafi' Azizan,temporarily unavailable temporarily unavailable temporarily unavailable · Like · ·,1564116100,
Grab,"Author  Hey Rafi, the merchant should be back on the app now. Can you check if you are able to order? Hey Rafi, the merchant should be back on the app now. Can you check if you are able to order? Hey Rafi, the merchant should be back on the app now. Can you check if you are able to order? · Like · ·",1564130422,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Sheikh Mohammed,"there’s a missing item that I left in a Grab 1 week ago. Grab sent me an E-mail saying “can’t reach driver”. what kind of system do you have that cannot track your grab cars? what if this was an emergency situation, how would you contact him? Moreove…See more there’s a missing item that I left in a Grab 1 week ago. Grab sent me an E-mail saying “can’t reach driver”. what kind of system do you have that cannot track your grab cars? what if this was an emergency situation, how would you contact him? Moreove…See more there’s a missing item that I left in a Grab 1 week ago. Grab sent me an E-mail saying “can’t reach driver”. what kind of system do you have that cannot track your grab cars? what if this was an emergency situation, how would you contact him? Moreove there’s a missing item that I left in a Grab 1 week ago. Grab sent me an E-mail saying “can’t reach driver”. what kind of system do you have that cannot track your grab cars? what if this was an emergency situation, how would you contact him? Moreove … · Like · ·",1564116793,
Grab,Author  Hi Sheikh Hassan. Sorry to hear about your missing item.  Lets me try and help you on this matter. Would you mind PM'ing us with the report number so we can have a look into this? Hi Sheikh Hassan. Sorry to hear about your missing item.  Lets me try and help you on this matter. Would you mind PM'ing us with the report number so we can have a look into this? Hi Sheikh Hassan. Sorry to hear about your missing item.  Lets me try and help you on this matter. Would you mind PM'ing us with the report number so we can have a look into this? · Like · ·,1564130497,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
