name,comment,time,image
,,,
Raymond Ong,Just wondering if this campaign is still on because I don't receive message-from-grab about it anymore for the past few days even though I am paying through MasterCard Just wondering if this campaign is still on because I don't receive message-from-grab about it anymore for the past few days even though I am paying through MasterCard Just wondering if this campaign is still on because I don't receive message-from-grab about it anymore for the past few days even though I am paying through MasterCard · Like · ·,1555005780,
Annabel Tan,Hello Grab team! Are the results out for this!#fingerscrossed Hello Grab team! Are the results out for this!#fingerscrossed Hello Grab team! Are the results out for this! # fingerscrossed · Like · ·,1555772735,
Aizat Nsr,Maximum commission rate capped by gov is 20% max. Why until now you take 25% from your driver? Please answer. Maximum commission rate capped by gov is 20% max. Why until now you take 25% from your driver? Please answer. Maximum commission rate capped by gov is 20% max. Why until now you take 25% from your driver? Please answer. · Like · ·,1556709147,
Malay Kent,grab ini betul-betul penipu ! makan duit orang lagi bagai pontut orang jadi muka grab ini betul-betul penipu ! makan duit orang lagi bagai pontut orang jadi muka grab ini betul-betul penipu ! makan duit orang lagi bagai pontut orang jadi muka · Like · ·,1554404547,
Abam Rizz Tebuk Lubang,"Simple... Driver dont work with grab because its their own car.. They only use grab apps to earn extra income.. So if driver thinks u as a passenger is too complicated, too divas or etc.. They will reject u.. Once again, its their own car.. Not grab ca…See more Simple... Driver dont work with grab because its their own car.. They only use grab apps to earn extra income.. So if driver thinks u as a passenger is too complicated, too divas or etc.. They will reject u.. Once again, its their own car.. Not grab ca…See more Simple... Driver dont work with grab because its their own car.. They only use grab apps to earn extra income.. So if driver thinks u as a passenger is too complicated, too divas or etc.. They will reject u.. Once again, its their own car.. Not grab ca Simple... Driver dont work with grab because its their own car.. They only use grab apps to earn extra income.. So if driver thinks u as a passenger is too complicated, too divas or etc.. They will reject u.. Once again, its their own car.. Not grab ca … 3 3  3 · Like · ·",1553053200,
Joshua Lee,Grab 2 weeks ago i have filed a complaint regarding a driver that refused to drive me while I was in the car because he was unsatisfied with the fare price. He called grab support for drivers while I was in the car and cancelled my journey. I have complained to your support and have not heard a reply for 2 weeks. Grab 2 weeks ago i have filed a complaint regarding a driver that refused to drive me while I was in the car because he was unsatisfied with the fare price. He called grab support for drivers while I was in the car and cancelled my journey. I have complained to your support and have not heard a reply for 2 weeks. 2 weeks ago i have filed a complaint regarding a driver that refused to drive me while I was in the car because he was unsatisfied with the fare price. He called grab support for drivers while I was in the car and cancelled my journey. I have complained to your support and have not heard a reply for 2 weeks. 1 1  1 · Like · ·,1552971742,
Karadi Musang,Joshua Lee hi bro.. First of all he could not refused to drive you to the destination since he is the one accepted your request for the agreed price... Or he could cancel the job before arriving so other driver can take the offer.. Joshua Lee hi bro.. First of all he could not refused to drive you to the destination since he is the one accepted your request for the agreed price... Or he could cancel the job before arriving so other driver can take the offer.. Joshua Lee hi bro.. First of all he could not refused to drive you to the destination since he is the one accepted your request for the agreed price... Or he could cancel the job before arriving so other driver can take the offer.. · Like · ·,1553442540,
,,,
Christilla Haw,Hi.. Grab.. why I can’t manage to add my credit/debit card for grabpay purpose. Pls advice. Thanks. Hi.. Grab.. why I can’t manage to add my credit/debit card for grabpay purpose. Pls advice. Thanks. Hi.. Grab.. why I can’t manage to add my credit/debit card for grabpay purpose. Pls advice. Thanks. 1 1  1 · Like · ·,1553037960,
Ginny Liew,I also cannot add credit card and cannot top up my wallet. Grab still haven't solve the problem. So inconvenient! I also cannot use promo code since it requires grab pay I also cannot add credit card and cannot top up my wallet. Grab still haven't solve the problem. So inconvenient! I also cannot use promo code since it requires grab pay I also cannot add credit card and cannot top up my wallet. Grab still haven't solve the problem. So inconvenient! I also cannot use promo code since it requires grab pay · Like · ·,1553092042,
Michelle Lee,Christilla Haw r u all using iphone?? Christilla Haw r u all using iphone?? Christilla Haw r u all using iphone?? 1 1  1 · Like · ·,1553476386,
Michelle Lee,Christilla Haw i also cant topup my grabpay Christilla Haw i also cant topup my grabpay Christilla Haw i also cant topup my grabpay · Like · ·,1553476397,
Christilla Haw,Michelle Lee yes.. I m using iPhone. Until today I still can’t add my grabpay.. Michelle Lee yes.. I m using iPhone. Until today I still can’t add my grabpay.. Michelle Lee yes.. I m using iPhone. Until today I still can’t add my grabpay.. 1 1  1 · Like · ·,1553657806,
,,,
Helen Yu Nei,why i cannot top up for grabpay  since february 2019 month end until now ? why i cannot top up for grabpay  since february 2019 month end until now ? why i cannot top up for grabpay  since february 2019 month end until now ? 1 1  1 · Like · ·,1552957856,
Grab,Author  Hi Helen! Can you PM us with your contact number for us to look into this further? Thank you. Hi Helen! Can you PM us with your contact number for us to look into this further? Thank you. Hi Helen! Can you PM us with your contact number for us to look into this further? Thank you. 1 1  1 · Like · ·,1552959798,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Helen Yu Nei,Grab send by messenger Grab send by messenger send by messenger · Like · ·,1552960024,
Helen Yu Nei,Grab *already Grab *already *already · Like · ·,1552960229,
Ginny Liew,Can u top up now? I also cannot top up😥😥😥 Can u top up now? I also cannot top up😥😥😥 Can u top up now? I also cannot top up😥😥😥 😥 😥 😥 😥 😥 😥 · Like · ·,1553086715,
Nazareth Love Hurt,"Saya juga tidak dapat Top Up sejak Februari. Sudah banyak kali report, katanya masalah iOS pengguna Apple@ I Phone...sehingga sekarang 22/03/2019 belum mampu diselesaikan. Terima kasih kepada Grab, setiap report, ada respond tapi tindakan penyelesainnya sangat lembab/lambat/ belum selesai. Saya juga tidak dapat Top Up sejak Februari. Sudah banyak kali report, katanya masalah iOS pengguna Apple@ I Phone...sehingga sekarang 22/03/2019 belum mampu diselesaikan. Terima kasih kepada Grab, setiap report, ada respond tapi tindakan penyelesainnya sangat lembab/lambat/ belum selesai. Saya juga tidak dapat Top Up sejak Februari. Sudah banyak kali report, katanya masalah iOS pengguna Apple@ I Phone...sehingga sekarang 22/03/2019 belum mampu diselesaikan. Terima kasih kepada Grab, setiap report, ada respond tapi tindakan penyelesainnya sangat lembab/lambat/ belum selesai. 1 1  1 · Like · ·",1553232291,
São Miguel,Helen Yu Nei still cannot top up ! Helen Yu Nei still cannot top up ! Helen Yu Nei still cannot top up ! · Like · ·,1553831817,
Helen Yu Nei,ya，me too ya，me too ya，me too · Like · ·,1553834107,
Hj Wong,I have same problem!! I have same problem!! I have same problem!! · Like · ·,1553996016,
,,,
GimHo Call,"Hi Grab, you still yet to cancel my multiple redemptions and refund the points due to your system error. SHOW YOUR INTEGRITY!Those who face the same issue pls log a complaint to NCCC, MOT and KPDNKK Hi Grab, you still yet to cancel my multiple redemptions and refund the points due to your system error. SHOW YOUR INTEGRITY!Those who face the same issue pls log a complaint to NCCC, MOT and KPDNKK Hi Grab, you still yet to cancel my multiple redemptions and refund the points due to your system error. SHOW YOUR INTEGRITY! Those who face the same issue pls log a complaint to NCCC, MOT and KPDNKK 1 1  1 · Like · ·",1552940453,
Grab,"Author  Hi GimHo, we're truly sorry about this. Could you PM us your details for us to assist you further on this? Hi GimHo, we're truly sorry about this. Could you PM us your details for us to assist you further on this? Hi GimHo, we're truly sorry about this. Could you PM us your details for us to assist you further on this? · Like · ·",1552943425,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
GimHo Call,"Grab thanks for the attention (finally), I have received email confirmation from your support team that they have cancelled the multiple redemptions and refunded the points. But I have already filed complaint with NCC and MOT. I have provided the complaint number to your support team, I'll let them explain to NCCC and MOT themselves. Grab thanks for the attention (finally), I have received email confirmation from your support team that they have cancelled the multiple redemptions and refunded the points. But I have already filed complaint with NCC and MOT. I have provided the complaint number to your support team, I'll let them explain to NCCC and MOT themselves. thanks for the attention (finally), I have received email confirmation from your support team that they have cancelled the multiple redemptions and refunded the points. But I have already filed complaint with NCC and MOT. I have provided the complaint number to your support team, I'll let them explain to NCCC and MOT themselves. · Like · ·",1552969729,
,,,
Kum Lip Keong,"For the auto top up,if using Visa for this feature can i still enjoy the ride reward?Thank you For the auto top up,if using Visa for this feature can i still enjoy the ride reward?Thank you For the auto top up,if using Visa for this feature can i still enjoy the ride reward?Thank you · Like · ·",1552358382,
Grab,Author  I believe it should not be a problem for you to enjoy the ride rewards for that matter. :) - Kimmy I believe it should not be a problem for you to enjoy the ride rewards for that matter. :) - Kimmy I believe it should not be a problem for you to enjoy the ride rewards for that matter. :) - Kimmy :) :) 1 1  1 · Like · ·,1552358590,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Kum Lip Keong,just confirm with this clearly since the benefits are mentioned for  Mastercard users. just confirm with this clearly since the benefits are mentioned for  Mastercard users. just confirm with this clearly since the benefits are mentioned for  Mastercard users. · Like · ·,1552358653,
Grab,"Author  I see. For that reward or promo, you will not be entitled since you are not paying by card, but your wallet. So that one is not eligible. I see. For that reward or promo, you will not be entitled since you are not paying by card, but your wallet. So that one is not eligible. I see. For that reward or promo, you will not be entitled since you are not paying by card, but your wallet. So that one is not eligible. · Like · ·",1552358794,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Kum Lip Keong,no worries and thank you for the info :) no worries and thank you for the info :) no worries and thank you for the info :) :) :) · Like · ·,1552358919,
Kum Lip Keong,"regards the website,i can't connected to the website since the website doesn't exist regards the website,i can't connected to the website since the website doesn't exist regards the website,i can't connected to the website since the website doesn't exist · Like · ·",1552359068,
Grab,Author  👍😊🤞👌🚗 👍😊🤞👌🚗 👍😊🤞👌🚗 👍 👍 😊 😊 🤞 🤞 👌 👌 🚗 🚗 · Like · ·,1552359068,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Grab,Author  Which web link sir? Which web link sir? Which web link sir? · Like · ·,1552359185,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Kum Lip Keong,the link above the post the link above the post the link above the post · Like · ·,1552359223,
Grab,Author  Can you copy and paste it here please? Thanks. Can you copy and paste it here please? Thanks. Can you copy and paste it here please? Thanks. · Like · ·,1552359351,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Kum Lip Keong,https://l.facebook.com/l.php... https://l.facebook.com/l.php... · Like · ·,1552359410,
